Writing	Readings	Meanings
利益	りえき,りやく	[n.; suru] profit; gains // [n.] benefit; advantage; interest (of the public, etc.) // [n.] grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.); blessing; miracle
カート		[n.] cart // [n.] khat; qat
落ちる	おちる	[v1.; vi.] to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze); to be used in a certain place (e.g. money) // [n.] to be omitted; to be missing // [n.] to decrease; to sink // [n.] to fail (e.g. exam or class); to lose (contest, election, etc.) // [n.] to crash; to degenerate; to degrade; to fall behind // [n.] to become indecent (of a conversation) // [n.] to be ruined; to go under // [n.] to fade; to come out (e.g. a stain); to come off (e.g. makeup); to be removed (e.g. illness, possessing spirit, name on a list) // [n.] to fall (into someone's hands); to become someone's possession // [n.] to fall (into a trap); to fall (for a trick) // [n.] to give in; to give up; to confess; to flee // [n.] to fall; to be defeated; to surrender // [n.] to come to (in the end); to end in // [n.] to fall (in love, asleep, etc.) // [n.] to swoon (judo) // [n.] to consent; to understand // [n.] to crash; to freeze // [n.] to die // [n.] to move to the depths
事故	じこ,ことゆえ	[n.] accident; incident; trouble // [n.] circumstances; reasons
スーパー	スーパー,スーパ	[n.] super // [abbr.] supermarket // [abbr.] superimpose // [abbr.] superheterodyne // [n.] (film with) subtitles
ショッピング	ショッピング,ショッピッング	[n.; suru] shopping
センター	センター,センタ	[n.] centre; center
ショッピングセンター	ショッピングセンター,ショッピング・センター	[n.] shopping centre; shopping center; mall
には		[part.] for (in regard to); in order to
中	チュン	[n.] inside; in // [n.] among; within // [n.] center (centre); middle // [n.] during; while // [n.; no-n.] inside; within // [us. kana] while // [us. kana] among; amongst; between // [pron.; no-n.; us. kana] we (referring to one's in-group, i.e. company, etc.); our // [n.] my spouse // [n.; arch.] imperial palace grounds // [arch.] emperor // [pron.; no-n.] I (primarily used by women and children); me // [n.; pref.; suffix] medium; average; middle // [n.] moderation // [abbr.] middle school // [abbr.] China // [abbr.] volume two (of three) // [sufn.] during (a certain time when one did or is doing something); under (construction, etc.); while // [n.] in; out of (e.g. three out of ten people) // [suffix] through; throughout; in the course of // [n.] all over or throughout (e.g. a place) // [n.; abbr.] red dragon tile
品物	しなもの	[n.] goods; article; thing
つく		[v5ku.; vi.; us. kana] to be lit (e.g. electricity comes on); to be lighted // [us. kana] to catch fire // [v5ku.; vt.; us. kana] to breathe out; to breathe // [us. kana] to tell (a lie); to use (foul language) // [us. kana] to vomit; to throw up; to spit up // [n.; us. kana] horned owl // [v5ku.; vt.; us. kana] to hull (rice, barley, etc.); to pound (rice); to polish (rice); to stamp (ore)
ついて		[phrase; us. kana] about; concerning; as to; regarding
ついている	ついてる,ついている	[phrase; v1.; us. kana] to be lucky; to be in luck // [us. kana] to be attached; to have; to be included; to come with; to contain; to be in a state
物	ぶつ,ブツ	[n.] thing; object; article; stuff; substance // [n.] one's things; possessions; property; belongings // [n.] things; something; anything; everything; nothing // [n.] quality // [n.] reason; the way of things // [us. kana] used to emphasize emotion, judgment, etc.; used to indicate a common occurrence in the past (after a verb in past tense); used to indicate a general tendency; used to indicate something that should happen // [sufn.] item classified as ...; item related to ...; work of ... // [n.] cause of ...; cause for ... // [pref.] somehow; somewhat; for some reason // [n.] really; truly // [n.] stock; products // [us. kana; slang] stolen goods; loot; spoils
物がある	ものがある	[phrase; v5ruirr.; us. kana] sentence-ending expression of strong judgement
国民	こくみん	[n.] nation; nationality; people; citizen
生活	せいかつ	[n.; suru] living; life (one's daily existence); livelihood
３	さん,み	[num.] three // [pref.] tri-
６	ろく,む,むう	[num.] six
以下	いか,いげ	[n.] not exceeding; and downward; ... and below // [n.] below (e.g. standard); under (e.g. a level) // [n.] the below-mentioned; the following; the rest
たり	たり,だり	[part.] -ing and -ing (e.g. "coming and going") // [n.] (used adverbially) doing such things as... // [n.] expresses a command // [auxv.; arch.] (after a noun) to be // [arch.] indicates completion or continuation of an action
する		[vsuruirr.; us. kana] to do // [us. kana] to cause to become; to make (into); to turn (into) // [us. kana] to serve as; to act as; to work as // [us. kana] to wear (clothes, a facial expression, etc.) // [us. kana] to judge as being; to view as being; to think of as; to treat as; to use as // [us. kana] to decide on; to choose // [vsuruirr.; vi.; us. kana] to be sensed (of a smell, noise, etc.) // [us. kana] to be (in a state, condition, etc.) // [us. kana] to be worth; to cost // [us. kana] to pass (of time); to elapse // [vsuruirr.; vt.; us. kana] to place, or raise, person A to a post or status B // [us. kana] to transform A to B; to make A into B; to exchange A for B // [us. kana] to make use of A for B; to view A as B; to handle A as if it were B // [us. kana] to feel A about B // [suffix; vsuruirr.; us. kana] verbalizing suffix (applies to nouns noted in this dictionary with the part of speech "vs") // [auxv.; vsuruirr.; us. kana] creates a humble verb (after a noun prefixed with "o" or "go") // [us. kana] to be just about to; to be just starting to; to try to; to attempt to // [v5ru.; vt.; us. kana] to pick someone's pocket
１０月	じゅうがつ	[advn.] October
５	ご,いつ,い	[num.] five
